Department,SKU_Count,Total_Value,Capital_Weight,SKU_per_Million
AIR FRESHNERS,158,0.0,0.0,1.373913043478261
AIR/DEEP FRYERS,7,0.0,0.0,0.06086956521739131
ALL CLEANERS,186,0.0,0.0,1.617391304347826
ANTISEPTIC,30,0.0,0.0,0.2608695652173913
BABY COSMETICS,140,0.0,0.0,1.217391304347826
BABY FOODS,67,0.0,0.0,0.5826086956521739
BABY ITEMS,41,0.0,0.0,0.3565217391304348
BABY MILK,25,0.0,0.0,0.21739130434782608
BAGS,27,2744039.0,0.010973995413884285,0.23478260869565218
BAKE WARE FOODS,155,110506.0,0.0004419369904023583,1.3478260869565217
BAKE WARE ITEMS,59,0.0,0.0,0.5130434782608696
BAKERY FOODPLUS,111,2647214.78,0.010586774770798335,0.9652173913043478
BAR SOAP,40,1320634.98,0.005281500085798768,0.34782608695652173
BATH SOAP,314,0.0,0.0,2.7304347826086954
BATTERIES,58,0.0,0.0,0.5043478260869565
BEANS & LENTILS,95,0.0,0.0,0.826086956521739
BEDDINGS,6,0.0,0.0,0.052173913043478265
BEER,86,15344367.61,0.06136538867745486,0.7478260869565218
BEVERAGES,70,175507.0,0.0007018898102776925,0.608695652173913
BISCUITS,654,1047630.0,0.004189695122936515,5.6869565217391305
BLEACHES,85,0.0,0.0,0.7391304347826086
BOOKS,25,0.0,0.0,0.21739130434782608
BREAD,139,12805985.0,0.051213856894989813,1.2086956521739132
BREAKFAST CEREALS,184,0.0,0.0,1.5999999999999999
BRUSHES & BROOMS,113,0.0,0.0,0.9826086956521739
BUTTER,84,2654604.0,0.010616325832715526,0.7304347826086957
CAKES,128,627484.0,0.002509441935149525,1.1130434782608696
CANDLES,138,0.0,0.0,1.2
CANNED DRINKS,78,608285.1,0.0024326614518722744,0.6782608695652175
CANNED FOOD,149,1498446.0,0.005992604161950049,1.2956521739130435
CANNED FRUITS,15,0.0,0.0,0.13043478260869565
CANNED MEAT,78,0.0,0.0,0.6782608695652175
CANNED MILK,13,0.0,0.0,0.11304347826086956
CANNED SODA,42,1933033.98,0.007730613898491416,0.3652173913043478
CAR ACCESSORIES,102,0.0,0.0,0.8869565217391304
CARDS,31,0.0,0.0,0.26956521739130435
CEREAL BARS,76,0.0,0.0,0.6608695652173914
CH. DRIED FRUIT/NUTS & SEEDS,40,0.0,0.0,0.34782608695652173
CH. SPICES/OTHER ITEMS,64,0.0,0.0,0.5565217391304348
CHEESE,264,1439421.0,0.005756550636725182,2.2956521739130435
CHEVDA,53,82253.0,0.00032894723609184275,0.4608695652173913
CHEWING GUM,142,974751.0,0.003898236505996861,1.2347826086956522
CHINESS & THAI SAUCE,176,0.0,0.0,1.5304347826086957
CHOCOLATES,608,6593399.0,0.02636840452628743,5.286956521739131
CIDERS,43,1659209.37,0.0066355310609848605,0.3739130434782609
CIGARETTES,68,10888218.0,0.043544298895668875,0.591304347826087
CLING FILMS & FOIL,39,0.0,0.0,0.33913043478260874
COCONUT MILK/ POWDER,58,339145.0,0.0013563129659023745,0.5043478260869565
COCONUT OIL,26,0.0,0.0,0.22608695652173913
COFFEE,269,141330.0,0.0005652087203732403,2.3391304347826085
COFFEE MAKER/GRINDERS,5,0.0,0.0,0.043478260869565216
COMPUTER ASS,1,0.0,0.0,0.008695652173913044
CONCENTRATE JUICE,90,0.0,0.0,0.7826086956521738
CONDOMS,28,0.0,0.0,0.24347826086956523
COOKERS/OVENS/BURNERS,2,0.0,0.0,0.017391304347826087
COOKING FAT,36,0.0,0.0,0.31304347826086953
COOKING GAS,5,0.0,0.0,0.043478260869565216
COOKING OIL,190,9403583.0,0.03760692785929071,1.652173913043478
COOKING SAUCE/PASTE,99,47979.0,0.00019187822256270924,0.8608695652173913
COSMETICS,314,0.0,0.0,2.7304347826086954
COTTON WOOL/BUDS,50,0.0,0.0,0.43478260869565216
CRISPBREAD,14,0.0,0.0,0.12173913043478261
CRISPS,263,1334849.0,0.0053383449740430165,2.28695652173913
DELI CHEESE,16,0.0,0.0,0.1391304347826087
DELI HAM,12,0.0,0.0,0.10434782608695653
DELI PRODUCT,41,0.0,0.0,0.3565217391304348
DETERGENTS,212,0.0,0.0,1.8434782608695652
DIAPERS,144,0.0,0.0,1.2521739130434781
DISCONTINUE ITEMS,2,0.0,0.0,0.017391304347826087
DISH WASHING PASTE,53,0.0,0.0,0.4608695652173913
DISINFECTANT,31,0.0,0.0,0.26956521739130435
DIWALI ITEMS,45,0.0,0.0,0.3913043478260869
DRIED FRUITS/NUTS,4,0.0,0.0,0.034782608695652174
DRIED FRUITS/NUTS&SEEDS,114,0.0,0.0,0.991304347826087
DRIED MEAT,26,0.0,0.0,0.22608695652173913
EGGS,52,8125403.6899999995,0.032495217024983404,0.45217391304347826
ELECTRICAL ITEMS,167,0.0,0.0,1.452173913043478
EMPTIES/CRATES,47,6424586.0,0.02569328544532537,0.408695652173913
EMPTY BOTTLE 20LT,2,0.0,0.0,0.017391304347826087
ENERGY DRINKS,45,1545667.6,0.006181453380870144,0.3913043478260869
EYE WEAR,2,0.0,0.0,0.017391304347826087
FABRIC CONDITIONER,93,0.0,0.0,0.808695652173913
FAN/AIR CONDITIONERS,37,0.0,0.0,0.3217391304347826
FLOUR,175,11826041.72,0.047294855357261405,1.5217391304347827
FLOWERS  SEEDS,5,0.0,0.0,0.043478260869565216
FOOD COLOUR/ESSENCE,43,0.0,0.0,0.3739130434782609
FOOD PROCESSORS/STEAMERS,2,0.0,0.0,0.017391304347826087
FOOTWEAR,2,0.0,0.0,0.017391304347826087
FRESH CREAM,38,589360.0,0.0023569759530119075,0.3304347826086957
FRESH FRUITS CS,7,0.0,0.0,0.06086956521739131
FRESH GOURMET,249,7777664.52,0.03110453414591065,2.1652173913043478
FRESH MILK,110,48909856.0,0.19560091363050627,0.9565217391304349
FRESH VEG CS,5,0.0,0.0,0.043478260869565216
FROZEN FISH/SEAFOOD,71,0.0,0.0,0.6173913043478261
FROZEN FRUITS,8,0.0,0.0,0.06956521739130435
FROZEN GOURMET,208,0.0,0.0,1.808695652173913
FROZEN VEGETABLE,120,0.0,0.0,1.0434782608695652
GHEE,12,0.0,0.0,0.10434782608695653
GHERKINS,17,0.0,0.0,0.14782608695652175
GIFT WRAP&RIBBON,49,0.0,0.0,0.42608695652173917
GIFTWARE,8,0.0,0.0,0.06956521739130435
GLASSWARE ITEMS,187,0.0,0.0,1.626086956521739
GLOVES,37,0.0,0.0,0.3217391304347826
General Merchandise,487,0.0,0.0,4.234782608695652
HAIR ACCESSORIES,48,0.0,0.0,0.4173913043478261
HAIR PRODUCTS,235,0.0,0.0,2.0434782608695654
HAND WASH,96,0.0,0.0,0.8347826086956522
HARDWARE,66,0.0,0.0,0.5739130434782609
HEATERS,7,0.0,0.0,0.06086956521739131
HERBAL TEAS,152,0.0,0.0,1.3217391304347827
HOME APPLIANCES ELEC,11,0.0,0.0,0.09565217391304348
HOME AUDIO/THEATERS,1,0.0,0.0,0.008695652173913044
HONEY,93,0.0,0.0,0.808695652173913
HOT SAUCE,145,0.0,0.0,1.2608695652173914
HOUSEHOLD ITEMS,967,0.0,0.0,8.408695652173913
ICE CUBE/BLOCK,5,584800.0,0.002338739543439262,0.043478260869565216
ICE-CREAM,375,409250.0,0.0016366777670186697,3.2608695652173916
INCENSE STICKS,188,0.0,0.0,1.634782608695652
INDIAN FOOD/SNACKS/SWEETS,280,526633.95,0.002106121141899137,2.434782608695652
JAMS,13,0.0,0.0,0.11304347826086956
MARGARINE,33,1788148.72,0.007151186937438956,0.28695652173913044
MAYONNAISE,72,0.0,0.0,0.6260869565217391
MEDICARE,284,68040.0,0.0002721064270444723,2.4695652173913043
MEN DEO/COLOGNE,55,0.0,0.0,0.47826086956521746
MENS CREAM,7,0.0,0.0,0.06086956521739131
MENS DEO STICK,30,0.0,0.0,0.2608695652173913
MENS LOTION,19,0.0,0.0,0.16521739130434784
MENS ROLL ON,37,0.0,0.0,0.3217391304347826
MENS SHOWER GEL,65,0.0,0.0,0.5652173913043478
MEXICAN FOOD,82,2024828.0,0.008097717702228172,0.7130434782608696
MICROWAVE,7,0.0,0.0,0.06086956521739131
MILK POWDER,18,0.0,0.0,0.15652173913043477
MILK SHAKE,44,231250.0,0.000924817919665406,0.3826086956521739
MINERAL WATER,159,27016716.03,0.10804559184888919,1.382608695652174
MISC. DEPARTMENT,7,861669.0,0.0034459975438710082,0.06086956521739131
MIX SAUCE,64,0.0,0.0,0.5565217391304348
MIXER/BLENDERS/CHOPPERS/JUICE EXT.,20,0.0,0.0,0.17391304347826086
MOUTH WASH,21,0.0,0.0,0.1826086956521739
MUESLI,17,0.0,0.0,0.14782608695652175
MUESLI/GRANOLA,46,0.0,0.0,0.39999999999999997
MUKHUWAS(MOUTH FRESHNER),10,0.0,0.0,0.08695652173913043
MUSTARD,37,0.0,0.0,0.3217391304347826
NON ALC SPARKLING JUICE,11,0.0,0.0,0.09565217391304348
NOODLES,139,506077.02,0.00202390960789997,1.2086956521739132
OATS,54,0.0,0.0,0.46956521739130436
OLIVE OIL,61,0.0,0.0,0.5304347826086957
OLIVES,73,0.0,0.0,0.6347826086956522
PAPADUM,16,0.0,0.0,0.1391304347826087
PARTY ITEMS,261,0.0,0.0,2.2695652173913046
PASTA,234,291960.0,0.001167610118164376,2.034782608695652
PASTA /PIZZA SAUCE,102,0.0,0.0,0.8869565217391304
PEANUT BUTTER,53,0.0,0.0,0.4608695652173913
PENS/PENCIL/MARKERS,1,0.0,0.0,0.008695652173913044
PENS/PENCILS/MARKERS,194,27157.0,0.0001086066172728797,1.6869565217391305
PET ASSESORIES,139,0.0,0.0,1.2086956521739132
PET BIRD FOOD/PARROT,3,0.0,0.0,0.026086956521739132
PET CAT FOOD,299,1583442.0,0.006332521238273859,2.6
PET DOG FOOD,323,0.0,0.0,2.808695652173913
PET FISH FOOD,5,0.0,0.0,0.043478260869565216
PETROLIUM JELLY,28,0.0,0.0,0.24347826086956523
PICKLES,52,0.0,0.0,0.45217391304347826
PLANT BASED,48,0.0,0.0,0.4173913043478261
PLASTIC WARE,169,0.0,0.0,1.4695652173913043
PLASTIC/REFUSE BAGS,29,0.0,0.0,0.25217391304347825
POLISHES,18,0.0,0.0,0.15652173913043477
PREMIX FOODS,1,0.0,0.0,0.008695652173913044
PUDDINGS,43,0.0,0.0,0.3739130434782609
READY TO DRINK,217,2490554.04,0.00996025516145761,1.8869565217391304
READY TO EAT FOOD,11,0.0,0.0,0.09565217391304348
READY TO EAT NUTS,152,946357.0,0.003784682862706139,1.3217391304347827
RICE,138,3624004.0,0.014493162551952907,1.2
RICE CAKES,12,0.0,0.0,0.10434782608695653
RICE COOKERS,2,0.0,0.0,0.017391304347826087
ROLLING PAPERS/SHISHA &ASST,9,0.0,0.0,0.07826086956521738
SAFARICOM/AIRTEL/TELCOM TOP UP,10,0.0,0.0,0.08695652173913043
SALAD DRESSING,37,0.0,0.0,0.3217391304347826
SALT,117,376976.0,0.0015076071787406965,1.017391304347826
SANITARY TOWELS,100,285060.0,0.001140015551047873,0.8695652173913043
SCOORING PAD,117,0.0,0.0,1.017391304347826
SCOURING POWDER,34,0.0,0.0,0.2956521739130435
SEASON CUBES,22,1546350.0,0.00618418244356584,0.19130434782608696
SEED OIL,21,0.0,0.0,0.1826086956521739
SERVIETES,84,1247750.0,0.004990017553567612,0.7304347826086957
SHAMPOOS/CONDITIONER,354,0.0,0.0,3.0782608695652174
SHAVING PRODUCT,97,0.0,0.0,0.8434782608695652
SHOE POLISH,32,0.0,0.0,0.2782608695652174
SNACKS,197,677070.0,0.002707746892401541,1.7130434782608694
SODA,156,7952164.19,0.03180239542933422,1.356521739130435
SOUPS,51,0.0,0.0,0.4434782608695652
SOY SAUCE,53,0.0,0.0,0.4608695652173913
SOYA & OTHER MILK,47,0.0,0.0,0.408695652173913
SPICES,448,0.0,0.0,3.8956521739130436
SPIRITS,438,401970.0,0.0016075634991044464,3.8086956521739133
SPORTS ITEMS,4,0.0,0.0,0.034782608695652174
STATIONARIES,300,80950.0,0.00032373626204071186,2.608695652173913
STERILISING FLUID,10,0.0,0.0,0.08695652173913043
SUGAR,42,9085967.0,0.03633671394200445,0.3652173913043478
SUN CREAM,21,0.0,0.0,0.1826086956521739
SWEETENER,22,0.0,0.0,0.19130434782608696
SWEETS,693,205313.0,0.0008210903417957341,6.0260869565217385
SWICH/TOASTERS/WAFFLES MAKERS,10,0.0,0.0,0.08695652173913043
TEA,184,700460.0,0.0028012884757138605,1.5999999999999999
TETRA PACK JUICE,177,4886813.19,0.01954340500829953,1.5391304347826087
TISSUE PAPER,59,0.0,0.0,0.5130434782608696
TOILET CLEANER,161,0.0,0.0,1.4
TOILET ROLL,74,7797068.0,0.031182132788106845,0.6434782608695652
TOMATO/KETCHUP SAUCE,81,0.0,0.0,0.7043478260869566
TOOTHBRUSHES,75,0.0,0.0,0.6521739130434783
TOOTHPASTES,121,0.0,0.0,1.0521739130434782
TOYS,315,0.0,0.0,2.739130434782609
UNIFORMS&TOWELS,69,0.0,0.0,0.6
UNISEX DEO SPRAY,29,0.0,0.0,0.25217391304347825
UNISEX DEO STICK,12,0.0,0.0,0.10434782608695653
UNISEX ROLL ON,16,0.0,0.0,0.1391304347826087
VALENTINE ITEMS,21,0.0,0.0,0.1826086956521739
VINEGAR,61,0.0,0.0,0.5304347826086957
VITAMIN SUPPLEMENTS,41,0.0,0.0,0.3565217391304348
WASHING UP LIQUID,77,0.0,0.0,0.6695652173913044
WATER DISPENSERS/PURIFIERS,3,0.0,0.0,0.026086956521739132
WINES,916,0.0,0.0,7.965217391304347
WIPES,62,263621.0,0.0010542764315680604,0.5391304347826087
WOMEN DEO STICK,14,0.0,0.0,0.12173913043478261
WOMEN DEO/PERFUME,28,0.0,0.0,0.24347826086956523
WOMEN ROLL ON,21,0.0,0.0,0.1826086956521739
WOMEN/UNISEX CREAM,79,0.0,0.0,0.6869565217391305
WOMEN/UNISEX LOTION,239,0.0,0.0,2.0782608695652174
WOMEN/UNISEX SHOWER GEL,213,0.0,0.0,1.8521739130434784
XMAS ITEMS,24,0.0,0.0,0.20869565217391306
YOGHURT,364,9940347.1,0.03975356162496887,3.1652173913043478
electrical items,2,0.0,0.0,0.017391304347826087
frozen,1,0.0,0.0,0.008695652173913044
online,1,0.0,0.0,0.008695652173913044
sweets,1,0.0,0.0,0.008695652173913044
